nctid,description,label
NCT00353665,"Phase 2/3 trial in ALS patients Double-blinded, parallel, randomized (2 blocs, bulbar/spinal onset)||Memantine + riluzole x Placebo + Memantine||Inclusion criteria:||< 75 years at disease onset|< 3 years of disease progression|ALS-FRS > 24|FVC > 60|Probable or definite disease (revised El Escorial criteria)|No other medical condition|Normal blood tests|Regular medication on riluzole > 1 month|Nerve conduction studies ruling out conduction block|EMG with widespread loss of motor units (revised El Escorial criteria)|At least one hand with ADM strength > 2 on MRC scale||Duration - 2 years||Evaluation - every 3 months||Primary outcome - ALS-FRS Secondary -SF36, Hamilton depression scale, motor unit number estimation, neurophysiological index, strength (clinical evaluation); side-effects||Intention to treat analysis||60 patients||number estimated for 50% change in decline rate of ALS-FRS",ALS
NCT01348451,"These stem cells are called Human Spinal Stem Cells (HSSC) and have been engineered from the spinal cord of a single fetus electively aborted after 8 weeks of gestation. The tissue was obtained with the mother's consent. The cells will be transplanted into the ALS patient's spinal cord after laminectomy, an operation that removes bone surrounding the spine. After the spinal cord is exposed, a device manufactured for this purpose will be mounted onto the patient and will hold a syringe filled with the cells. The syringe will have a needle attached and the needle will enter the spinal cord in specified areas. The device will minimize trauma to the spinal cord by the needle by making the puncture precise and steady and injecting the material at a slow and steady speed.||ALS is a universally fatal neurodegenerative condition that causes weakness leading to paralysis and death. Life expectancy is 2-5 years. The cause is unknown and there is no effective treatment. Previous research has shown that on autopsy, ALS patients are found to have increased levels of the amino acid glutamate accumulated in the brain and spinal cord. This increase is thought to be caused by a decrease in the glutamate transporter which normally ""cleans up"" glutamate from the cells.||Because the HSSC are human in origin, their transplantation will be handled in some ways like other organ transplants in that patients will receive immunosuppressive medications to prevent the rejection of the cells. Right before and immediately after surgery patients will receive infusions of a drug called basiliximab. After surgery they will take prednisone and be tapered off that medication over one month. They will also be given two other immunosuppressive agents, tacrolimus and mycophenolate mofetil after surgery and it is expected that the patients will take these drugs for the rest of their lives.",ALS
NCT03272503,"Amyotrophic lateral sclerosis (ALS) or Lou Gehrig's disease is a neuromuscular disease that results in rapid decline in normal muscle function and tone leading to difficulties with mobility, eating, drinking, breathing, sleeping, and communicating. The disease is progressive and no cure currently exists. Most people diagnosed with ALS succumb within 3 to 5 years. Rilutek® (riluzole) has been approved as a treatment to slow progression of ALS, but is minimally effective with mean increase in survival of only a few months. Radicava® or Radicut® (edaravone) has recently been approved in Canada, USA, Japan and South Korea.||Muscular dysfunction present in people with ALS is caused by nerve breakdown and a dysfunction in the communication between the muscles and the nerves. The area where these communications occur is called the neuromuscular junction. Some recent studies have focused on using different medications to enhance communication at the neuromuscular junction with the goal of improving muscle function as a result. This approach is unproven but may help to slow the progression of the disease.||Pimozide is a medication that has been demonstrated to enhance communication at the neuromuscular junction in fish and mice. This study will look at whether Pimozide may help to slow the progression of ALS.||There are two parts to this study.||Treatment Phase: In the first part of this study, 100 people from several Canadian centres with ALS who have provided their consent will be randomly assigned into one of 2 groups. The first group will receive a dose of up to 2mg of Pimozide per day and the second group will receive placebo (lactose tablets). Subjects will be assigned randomly (like by a flip of a coin) to receive either Pimozide 2 mg per day or placebo tablets. There will be a fifty-fifty chance of receiving Pimozide or placebo.||Each Pimozide tablet contains 2 mg of Pimozide. The matching placebo tablets for this study will look exactly like the Pimozide tablets. Placebos are used in clinical trials to find out if the results observed in the study are due the drug being tested, or for other reasons.||Neither the subject nor their doctor will know which group a patient belongs to. However, if an emergency should arise, information about a treatment group will be shared with their doctor to ensure appropriate medical care. Participants will take their treatment once a day, every day for about 22 weeks. The total time in the study from the screen visit up until the last phone call communication is about 26 weeks.||Observational Phase: The second part of this study is optional. It is each subject's decision whether to participate only in the first part of this study, or in both parts of the study, or not at all. In the second part of this study, the Canadian Neuromuscular Disease Registry (CNDR) will collect data on overall ALS progression using the Revised ALS Functional Rating Scale (ALSFRS-R) and breathing using Vital Capacity data collected during breathing tests. This information will be collected from a subject medical record following each routine clinical appointment. Data will be collected at each routine clinic visit for up to 5 years from the end of the first part of the study. There will be no extra visits for this part of the study beyond routine ALS clinic visits.||The information collected during this part of the study will be used to compare the progression of ALS, after the clinical trial is completed, among the two treatment types (Placebo or 2 mg per day). By analyzing this information, the researchers conducting this study hope to determine if Pimozide may help to slow the progression of ALS. To participate in this part of the study consent must be provided to join the CNDR. A subject who hasn't already provided their CNDR consent, and wishes to participate in this part of the study will be given a CNDR consent form to review and sign in addition to this consent form. A subject already participating in the CNDR will just need to sign the main study consent form.",ALS
NCT02383654,"This pilot clinical trial is design to see the safety and possible efficiency of ADSCs treatment in a ALS patient. one subjects will be treated (n=1). The patient will receive brain transplantation of ADSCs and combines intravenous infusion ADSCs 4 times. Subjects will be assessed by adverse effects and functional outcomes of clinical: PI max , PE max,and Haloscale respiration, ALS functional rating scale (ALS-FRS) are analyzed at 1 month, 3 months, 6 months 9 months and 12 months.||Brain MRI scans will be obtained before and after the treatment. Long term follow-up will be performed at 1, 6 , and 12months for safety reasons. Brain CT for check operation safety before and after brain implantation.||Timing of Study: 12months recruitment period after approvals",ALS
NCT00877604,"Amyotrophic lateral sclerosis (ALS), or motor neuron disease (MND), is a rapidly progressive, fatal neurodegenerative condition characterized by loss of upper and lower motor neurons in the brain and spinal cord. The terms ALS and MND are often used inter-changeably to cover the different clinical syndromes, which include upper and lower motor neuron disorder, progressive bulbar palsy, and pseudo-polyneuritic form.||Degeneration of lower motor neurons (LMN) in the anterior horns of spinal cord and brainstem leads to progressive muscular atrophy and eventually to death within a few years due to respiratory insufficiency. During the course of the disease, the involvement of tongue and pharynx muscles causes swallowing impairment with marked drooling, need of parenteral or enteral feeding, and finally gastrostomy. Denervation of laryngeal muscles causes loss of speech. Cramps and fasciculation typically occur from the early phases of the disease. Degeneration of upper motor neurons (UMN) in the brain cortex causes pyramidal tract dysfunctions including clonus, Babinski sign, hypertonia, and loss of dexterity that further limit patients' daily activities.||The incidence of ALS varies from 0.2 to 2.5 cases per 100,000 per year, although estimates vary between countries, likely reflecting a combination of availability of medical services, diagnostic accuracy, and demo-graphic characteristics of the area. Increasing life expectancy and improvements in standards of treatment and care will also result in an increased incidence of ALS. Globally, the overall rate is approximately 2 per 100,000. Its prevalence is approximately of 7 per 100,000. In Italy, the reported incidence of ALS is 2.2 cases/100,000/year.||There is currently no cure for ALS. Despite initial positive results in preclinical and early clinical studies, large-scale clinical trials with all agents except riluzole failed to demonstrate a clinically meaningful therapeutic effect in patients with ALS. Riluzole at the dose of 100 mg/day showed a significant difference on survival (6.4%; gain of 3 months) and slowed deterioration in muscle strength.||Primary involvement of apoptotic mechanisms has important implications in selecting drug candidates for therapy in ALS. Recent preclinical studies have demonstrated that TUCA is endowed with antioxidant, antiapoptotic and neuroprotective activities. In particular, TUDCA can cross the blood-brain-barrier and has been shown to exert a significant therapeutic effect in a model of HD mice.||Tauroursodeoxycholic acid (TUDCA) is a hydrophilic bile acid that is normally produced endogenously in humans at very low levels. TUDCA is synthesized in the liver by conjugation of taurine to ursodeoxycholic acid (UDCA), which is commonly used as a bile acid replacement therapy for the treatment of certain cholestatic syndromes.||The main pharmacological activity of TUDCA consists in its ability in increasing the cholesterol solubilising activity of bile, thus transforming ""lithogenic"" bile in ""non-lithogenic"" or ""litholytic"" bile.||TUDCA inhibits mitochondrial-associated apoptosis via many pathways: 1) it inhibits the mitochondrial permeability transition (MPT) and cytochrome C release, 2) it inhibits mitochondrial membrane depolarization, and 3) it antagonizes Bax translocation from the mitochondria and caspase activation in hepatocytes and brain. TUDCA may also ease oxidative stress.Study relevant TUDCA pharmacology consists in its antioxidant, antiapoptotic and neuroprotective activities evidenced in preclinical studies.||Recent reports have shown that hydrophilic bile acids, such as UDCA and TUDCA, can prevent hepatic cytotoxicity through several mechanisms. For example, TUDCA prevents the production of reactive oxygen species and thus acts as an antioxidant. Additionally, TUDCA mitigates mitochondrial insufficiency and toxicity, and prevents apoptosis, in part, by inhibiting Bax translocation from cytosol to the mitochondria. In hepatocytes, this inhibition results in reduced mitochondrial membrane perturbation, release of cytochrome c, and activation of downstream caspases. TUDCA reduced cytotoxicity in neurons through similar mechanisms, as well as mitochondrial pathways that are independent of the permeability transition. TUDCA prevented striatal degeneration and ameliorated locomotor and cognitive deficits in the in vivo 3-nitropropionic acid (3-NP) rat model of HD. Intracellular inclusions were significantly reduced, and the TUDCA-treated mice showed improved locomotor and sensorimotor abilities.||In addition, the antiapoptotic and cytoprotective effects of TUDCA have been tested in models of acute stroke. The possibility that TUDCA exerts an antiapoptotic action by ameliorating mitochondrial function raises the issue whether other neurological disorders, including Friedreich's ataxia, amyotrophic lateral sclerosis, Parkinson's disease, and Alzheimer's disease, can benefit by the administration of TUDCA. This drug is a candidate neuroprotective agent for a variety of chronic neurodegenerative conditions.",ALS
NCT02000713,Currently there is no definitive diagnostic test for amyotrophic lateral sclerosis (ALS). The investigators' goal is to determine if magnetic resonance imaging can provide an accurate diagnosis of ALS by looking at chemical concentrations in the spinal cord at the neck level which show up in MRI imaging and compare these chemical concentrations to corresponding measures in healthy control subjects.,ALS
NCT03828123,"Subjects will be assigned to autologous mesenchymal stromal cell (AMSC) treatment according to inclusion and exclusion criteria (see below) screened four times prior to administration. Then the subjects will be observed for three consecutive yearsAfter a half year of screening period, the autologous multipotent mesenchymal stromal cells from bone marrow will be isolated. The cells will be cultivated for 3 passages (3 - 4 weeks) in order to get sufficient amount for therapy, cell suspension for intrathecal application will be prepared and introduced intrathecally through lumbar puncture. Subsequently, all the subjects will be observed at the range of standard medical care used at these types of interventions.",ALS
NCT01823380,"Amyotrophic lateral sclerosis is one of the most serious neurodegenerative disease, leading to death in 3 years by progressive paralysis of 4 limbs, speech, swallowing and breathing, and due to a progressive death of central and peripheral neurons. The cause of the disease is unknown, but an immunologically factor is more precisely suspected in ALS. Since 2008, the work of Immunology have shown that vitamin D was a major regulator of immunity. It regulates particularly the function of dendritic cells and regulates the immune response in macrophages. A vitamin D deficiency will induce activation of microglia. In neurology, vitamin D deficiency is associated with a greater impairment in neuronal function. This deficit is associated with a faster alteration of the microvasculature, alteration known to increase neuronal suffering and to enhance the neurodegenerative processes. The investigators postulate that ALS patients have a more severe prognosis if their vitamin D levels at the time of diagnosis is lower. The main objective of this study is to investigate the correlation between the rate of motor decline and blood levels of Vitamin D total. Secondary objectives are to investigate the relationship between blood levels of vitamin D and total disease duration of ALS, forced vital capacity, weight loss, age of onset and the start site of ALS.",ALS
NCT00231140,"Study drug will be provided as 50 mg tablets. Patients will be instructed to take 2 tablets orally once a day during the evening at least 60 minutes after a meal. Thalidomide will be administered starting at 100 mg (Group 1) for 6 weeks. Thereafter, the dose will be increased every week by 50mg until reaching the dose of 400 mg/day. This treatment is continued for 12 weeks. Thalidomide is administered in conjunction with the standard treatment of riluzole (100mg/day).",ALS
NCT00958048,"Objectives: Amyotrophic lateral sclerosis is the commonest motor neuron disease with incidence of 0.8 person-years in Chinese. Respiratory muscle function has been proposed to be a strong predictor of quality of life (QoL) and survival in ALS. Some studies suggest that most patients with ALS developed hypoventilation when their vital capacity (FVC) is less than 50% of predicted value. However, the incidence of hypoventilation and factors associated with hypoventilation in ALS patients is not clear. Also, there is still no consensus as to which physiologic marker should be used as a trigger for the initiation of non-invasive ventilation (NIV) in ALS patients. The conflicts of studies come from variable subgroup of ALS, pulmonary function at enrollment, techniques used to diagnose ALS, time to apply NIV, and target endpoint. Therefore, this project aimed to study ALS patients who had relatively preserved respiratory muscle function and no respiratory failure at clinical to achieve three goals: (1) To determine the incidence of hypoventilation in ALS patients (2) To identify the clinical characteristics and risk factors associated with hypoventilation in ALS patients (3) To determine the effect of early intervention with NIV on the prognosis of ALS patients Study design: Randomized, controlled trial Participants: ALS patients whose FVC 40%-80% of predict, Pimax <60mmHg, and daytime PaCO2<50mmHg Protocol: Eligible patients with whole-night polysomnography (PSG) and transcutaneous CO2 (PtcCO2). Enrolled patients were randomized to standard treatment or NIV. The primary endpoint of prognosis was survival. The secondary endpoint was changes of PtcCO2 and PaCO2, unexpected admission or clinic visiting, daytime function and QoL.||Statistic: The baseline demographics of patients with or without hypoventilation were compared to determine the factors associated with hypoventilation in ALS patients. The impact of NIV in ALS patients was determined by comparing the primary and secondary goals between standard treatment and NIV group. A two-sided p value of < 0.05 was considered statistically significant.||Clinical implication: Hypoventilation at ALS patients who had relatively preserved respiratory muscle function and no respiratory failure at clinical sleep was common, early identification through PSG screening and PtcCO2 will allow for the early diagnosis and intervention. Understanding the time of applying NIV and the effect on prognosis in ALS will allow for the early intervention and prediction of outcomes.",ALS
NCT02969759,"The investigators will study fibroblasts derived from sporadic ALS patients.||Clinical parameters will be collected such as sex, age, age of onset, clinical presentation, electrophysiological an respiratory parameters, treatments.||Patients and controls derived fibroblasts will be amplified and cultivated from skin biopsies.||Primary fibroblast cell cultures will be derived from skin biopsies obtained from control subjects and from the patients after obtaining written consent. Amplifications will be performed, from passage 1 to 6, allowing the time for cell cryopreservation of 10 samples per cell line. All experiments will be conducted on cells with similar passage numbers, ranging from 6 to 25, to avoid artefacts due to senescence.||Cell growth of each line will be monitored with the IncuCyte ZOOM® system (Essen Biosciences), a microscope gantry that resides in a cell incubator, and a networked external controller hard drive that gathers and processes image data. Cell growth will be automatically calculated at each time point using the relative cell density (ratio of the occupied area to the total area of the acquired regions).||The respiratory parameters of the fibroblasts will be monitored precisely with an high resolution oxygraph (OROBOROS). Enzymatic activity of each complex of the mitochondrial respiratory chain will be measured by spectrometry, and the mitochondrial membrane potential will be studied with fluorescence microscopy (TMRM probe). The investigators will also study mitochondrial dynamics and the architecture of mitochondrial network with fluorescence microscopy and super-resolution microscopy (SRM, Roper). The production of free radicals will be estimated with probes sensitive to oxidative stress. Finally, a metabolomic study (mass spectrometry QTRAP LC/MS/MS 5500 ABSciex) will be performed to characterise precisely the metabolites in the cells and to assess their metabolic profile.||The investigators will search for protein inclusions (intermediate filaments, TDP43, FUS, ubiquitin) with immuno-fluorescence technics. Western Blots will be performed to study the protein metabolism. The architecture of the cytoskeleton will be analysed in SRM and fluorescence microscopy, and the investigators will try to transfect fibroblasts in order to express Neurofilaments and study the consequences on the cytoskeleton and protein metabolism.||The investigators will study the response of the cells to the stress (hypoxia SCI-tive Dual, starvation), and to senescence (high passage numbers).",ALS
NCT00790582,"This is a Phase II Screening study. There is no placebo (inactive or 'fake' drug) in this study, meaning that all participants will be taking lithium carbonate. The purpose of this study is to find out if lithium carbonate is safe to be used in people with ALS and if it can slow the progression of the disease.||A recent article was published in a highly regarded medical journal that showed a positive effect of lithium carbonate on an ALS type mouse. The researchers then studied a very small number of people with ALS, giving 16 people lithium carbonate with riluzole and giving 28 people only riluzole. The people who took lithium remained stronger for a considerably longer period of time. However, the study was very small and we cannot really tell if lithium works unless a larger study is performed. It is not well understood why lithium carbonate might be helpful but it is believed that it may play a role in protecting the motor nerves from the damage of ALS.||If you choose to participate, you will need to go to your study clinic for research study visits 7 times in one year and you will have 4 telephone interviews during that time. These visits and phone calls could take up to 17 hours in total.||Caution: Lithium is an FDA approved drug used for some psychiatric disorders. It is not FDA approved for ALS. Lithium has many potentially serious side effects and must only be taken under close supervision of your physician.",ALS
NCT02437110,"Objective:||In this Phase I, proof-of-concept study, we aim to determine whether an antiretroviral regimen approved to treat human immunodeficiency virus (HIV) infection would also suppress levels of Human Endogenous Retrovirus-K (HERV-K) found to be activated in a subset of patients with amyotrophic lateral sclerosis (ALS). We propose to measure the of blood levels of HERV-K by quantitative PCR before, during, and after treatment with an antiretroviral regimen. We will evaluate the safety of the antiretroviral regimen for participants with ALS and also explore clinical and neurophysiological outcomes of ALS symptoms, quality of life, and pulmonary function.||Study Population:||We will study a subset of ALS patients who have a ratio of HERV-K:RPP30 greater than or equal to 13. About 30% of ALS patients may have detectable levels of HERV-K; about 20% of patients with ALS have a level >1000 copies/ml. To show whether the HERV-K could be suppressed, we will recruit from the approximately 20% of patients with the high levels so that the antiretroviral effect can be determined.||Design:||This is an open-label study of a combination antiretroviral therapy for 24 weeks in 20 HIV-negative, HTLV-negative ALS patients with high ratio of HERV-K:RPP30. The study duration for each participant will be up to 60 weeks. Participants will be followed regularly for safety, clinical, and neurophysiological outcomes.||Outcome Measures:||The primary outcome measure will be the percent decline HERV-K concentration measured by quantitataive PCR. Percent decline for a patient is measured by: 100 x (screening visit - week 24 visit measurement) / screening visit. The safety of antiretrovirals in volunteers with ALS as measured by the frequency and type of AEs, the ability to remain on assigned treatment (tolerability), physical examinations, laboratory test results, vital signs, and weight/body mass index (BMI). Efficacy will be explored by measuring the change in mean scores of: the ALS Functional Rating Scale-Revised (ALSFRS-R), the ALS Specific Quality of Life Inventory-Revised (ALSSQOL-R), the ALS Cognitive Behavioral Screen (ALS-CBS), vital capacity and maximal inspiratory pressure as measured by handheld spirometer, electrical impedance myography (EIM), the change in neurofilament levels in blood and/or CSF, and the change in uring p75ECD levels.",ALS
NCT01650818,"Scarce evidence is available regarding aerobic exercise training of patients with ALS. Some studies using transgenic mouse models of familial ALS have shown markedly slowed disease progression, improved functional capacity, and extension of survival in animals undergoing aerobic exercise training. In humans, only one non-randomized study has shown that moderate-intensity aerobic exercise training was of little beneficial effect in a small group of patients with Kennedy disease, a rare X-linked progressive neuromuscular disease involving lower motorneurons, presenting a pathophysiological picture quite different from that of ALS. To the best of our knowledge, the safety and the effects of aerobic exercise training on functional capacity and quality of life of patients with ALS have not been systematically evaluated as yet in a randomized, controlled trial with an adequate sample size.",ALS
NCT00800501,"Vascular endothelial growth factor (VEGF) is an endogenous human protein fundamental to the development of the vascular and nervous systems in the body. A role for VEGF in ALS has been suggested from observations in animal models of the disease as well as observations of a dysregulation of VEGF production in patients with ALS.||NeuroNova intends to investigate whether intracerebroventricular administration of VEGF165 in the form of the drug product sNN029 can improve motor function and prolong survival in patients with ALS, and in this first study the safety and tolerability of treatment for 3 months will be evaluated.||Assessments will include:||Electrocardiograms, vital signs and clinical laboratory tests|Adverse events and withdrawals related to adverse events|Possible pathological changes in the brain, spinal cord or retina identified through magnetic resonance imaging and funduscopy|Possible signs of intracranial bleeding or loss of blood-brain-barrier integrity through measurements of bilirubin and albumin levels in cerebrospinal fluid collected through lumbar and cervical puncture|Device performance as characterized by catheter tip placement (determined by imaging) and infusion accuracy (pump residual volume)||The secondary objective of this study is:||To explore the effect of ICV administration of sNN0029 on the time course of Amyotrophic Lateral Sclerosis related parameters including:||Disease activity as measured by Amyotrophic Lateral Sclerosis Functional Rating Scale|Quality of life as measured by the EQ-5D rating scale|To explore the levels of VEGF165 in cerebrospinal fluid collected through lumbar and cervical puncture.",ALS
NCT03367650,"The amyotrophic lateral sclerosis (ALS) is a neurodegenerative disease characterized by progressive muscular paralysis due to degeneration of motor neurons in the primary motor cortex, corticospinal pathway, brain stem and spinal cord. The incidence is estimated at 2/100 000 per year and prevalence at approximately 4/100000.||Various clinical forms are described. The disease is fatal is 3-5 years on average.||The majority of cases are sporadic and of unknown origin but 5-10% are familial and present for 20% of them, mutations in the SOD1 (21q22.11) gene. Other genes have recently been implicated in ALS. Environmental toxic factors have been extensively researched. Beta-methylamino-L-alanine (BMAA), a neurotoxic nonprotein amino acid produced by most cyanobacteria, has been proposed to be the causative agent of the ALS-Parkinsonism Complex on the island of Guam in the Pacific Ocean.||Epidemiology and clinical features of ALS have never been studied in Caribbean countries.||The main purpose of the study will be to evaluate the incidence of ALS in Guadeloupe and Martinique.||Secondary purposes will be:||to evaluate the presence of specific phenotypic features;|to establish he prognosis of different clinical forms;|to study the genes implicated in ALS and quantify theexposure to BMAA.||Since 2000, the diagnosis of ALS is made in about 20 patients per year in Guadeloupe and Martinique(for a total population of 800000 inhabitants) but the incidence and the clinical presentation of ALS in the French West Indiesare unknown.||The exceptional association of ALS and parkinsonism is regularly observed in Guadeloupe. We propose to perform a prospective descriptive and longitudinal epidemiological study to determine the incidence of ALSin the French West Indies. In parallel we will study the involvement of genetic andenvironmental toxic factors as etiological factor for this disease.||Primary outcome:||- the impact of ALS in Guadeloupe and Martinique||Secondary outcomes:||Assess the clinical characteristics (presence of phenotypic features?),|the prognosis of different clinical forms study,|to establish the genetic factors of the ALS and to search potential environmental factors",ALS
NCT04514952,"Once the eligibility is confirmed, approximately 1-2 weeks after the screening visit, the subject will return for the baseline/first infusion visit. Subsequent treatments will occur 2 weeks apart for 18 weeks, for a total of 10 infusions. Follow-up visits will occur at 22 weeks, 26 weeks and 39 weeks. End of study visit will occur at 52 weeks.||Baseline/Infusion 1 Visit||A verification of patient consent will be verbally performed and included in the progress note.|Review of medical history, and concomitant medications.|Physical exam + ALS Functional Rating Scale-Revised (ALSFRS-R)|Vital signs (Heart Rate, Blood Pressure, Respirations, Temp., SpO2)|Weight measurement||Blood samples will be collected for safety and efficacy assessments:||Hematology|Chemistry|Coagulation Panel|Proinflammatory Cytokines (IL-2, IL-6, TNF-a)|C- Reactive Protein (CRP)||The HB-adMSCs will be administered and the patient closely observed:||• One intravenous infusion of HB-adMSCs (2x108 cells) to last 1 hour:||Volume: 250 ml of Saline Solution 0.9%.|Rate: 83gts/min (250ml/h)||The subject will then be monitored for a minimum of 2hr after infusion as follows:||Measure Vital signs at minute 0 of infusion.|Measure Vital signs at minute 15 after IV infusion.|Measure Vital Signs at minute 30 after IV infusion.|Measure Vital signs at minute 60 after IV infusion.|Measure Vital signs at minute 120 after IV infusion. (Vital signs will be recorded more frequently if clinically indicated).|Adverse event monitoring|24 hrs. Telephone encounter. The subject will be contacted by telephone the following day after the infusion visit to determine if any adverse events have occurred.|ALS-specific Quality of Life Survey-revised (ALSSQOL-R)|A video recording will be made with the purpose to capture patient's overall status (gait, range of motion assessments, etc.).||One week following infusion, PI will perform an assessment to determine patient status and discuss any changes since previous infusion.||Infusion Visits Week 2,6,10,14 and 18||Review and update medical history|Update concomitant medications list|Weight measurement|Vital signs (Heart Rate, Blood Pressure, Respirations, Temp., SpO2)|Physical examination + ALS Functional Rating Scale-Revised (ALSFRS-R)||The HB-adMSCs will be administered and the patient closely observed:||• One intravenous infusion of HB-adMSCs (2x108 cells) to last 1 hour:||Volume: 250 ml of Saline Solution 0.9%.|Rate: 83gts/min (250ml/h)|Adverse event monitoring|24 hrs. Telephone encounter. The subject will be contacted by telephone the following day after the infusion visit to determine if any adverse events have occurred.||Infusion Visits Week 4, 8, 12, and 16||Review and update medical history|Update concomitant medications list|Weight measurement|Vital signs (Heart Rate, Blood Pressure, Respirations, Temp., SpO2)|Physical examination and ALS Functional Rating Scale-Revised (ALSFRS-R)||Blood samples will be collected for safety and efficacy assessments:||Hematology|Chemistry|Coagulation Panel|Proinflammatory Cytokines (IL-2, IL-6, TNF-a)|C - Reactive Protein||The HB-adMSCs will be administered and the patient closely observed:||• One intravenous infusion of HB-adMSCs (2x108 cells) to last 1 hour:||Volume: 250 ml of Saline Solution 0.9%.|Rate: 83gts/min (250ml/h)|ALS-specific Quality of Life Survey-revised (ALSSQOL-R)|Adverse event monitoring|24 hrs. Telephone encounter. The subject will be contacted by telephone the following day after the infusion visit to determine if any adverse events have occurred.||Follow-Up Visit Week 22||You will be asked about your current health and medical history (if any changes since last study visit or telephone call).|You will be asked if there was any change in the medication list you have previously provided (Concomitant medication list).|Your blood pressure, heart rate, respiration rate, temperature, oxygen saturation and weight will be measured.|The doctor will perform a physical examination driven by the signs and/or symptoms you experience, if any.|The doctor will perform tests including the Amyotrophic Lateral Sclerosis Functional Rating Scale-Revised (ALSFRS-R) to measure the symptoms of ALS Disease on how you are able to perform.|You will be asked to complete the Amyotrophic Lateral Sclerosis-Specific Quality of Life-Revised (ALSSQOL-R) questionnaire to assess the impact of Amyotrophic Lateral Sclerosis on your quality of life.|You will be reminded to stay on your stable regimen of treatment throughout the study||Follow-Up Visit Week 26||You will be asked about your current health and medical history.|You will be asked about the medicines that you have taken and are currently taking for Amyotrophic Lateral Sclerosis and for other health issues.|Your blood pressure, heart rate, respiration rate, oxygen saturation, temperature, and weight will be measured.|The doctor will perform a complete physical examination.|The doctor will perform tests including the Amyotrophic Lateral Sclerosis Functional Rating Scale-Revised (ALSFRS-R) to measure the symptoms of ALS Disease on how you are able to perform.|You will be asked to complete the Amyotrophic Lateral Sclerosis-Specific Quality of Life-Revised (ALSSQOL-R) questionnaire to assess the impact of Amyotrophic Lateral Sclerosis on your quality of life.|Laboratory test will be done. About 6 tablespoons of blood will be taken from your arm using a needle. Your blood will be tested to measure your overall health and efficacy markers (TNF-a, IL-6, IL-2 and C - Reactive Protein).|You will be given an order for a Chest X ray (PA single view) and Magnetic Resonance Imaging to be performed. If within 7 days of the End of study visit you have undergone any or both, such reports would suffice this requirement.|An Electrocardiogram (ECG) will be performed to evaluate cardiac function.|An Electromyogram (EMG) will be performed to evaluate neuromuscular function.|A video documenting of yourself walking and sitting will be performed.||Follow-Up Visit Week 39||You will be asked about your current health and medical history (if any changes since last study visit or telephone call).|You will be asked if there was any change in the medication list you have previously provided (Concomitant medication list).|Your blood pressure, heart rate, respiration rate, temperature, oxygen saturation and weight will be measured.|The doctor will perform a physical examination driven by the signs and/or symptoms you experience, if any.|Laboratory test will be done. About 6 tablespoons of blood will be taken from your arm using a needle. Your blood will be tested to measure your overall health and efficacy markers (TNF-a, IL-6, IL-2 and C - Reactive Protein).|The doctor will perform tests including the Amyotrophic Lateral Sclerosis Functional Rating Scale-Revised (ALSFRS-R) to measure the symptoms of ALS Disease on how you are able to perform.|You will be asked to complete the Amyotrophic Lateral Sclerosis-Specific Quality of Life-Revised (ALSSQOL-R) questionnaire to assess the impact of Amyotrophic Lateral Sclerosis on your quality of life.|You will be reminded to stay on your stable regimen of treatment throughout the study||End of Study Visit Week 52||Review and update medical history|Review and update concomitant medications list|Weight measurement|Vital signs (Heart Rate, Blood Pressure, Respirations, Temp., SpO2)|Physical examination + ALS Functional Rating Scale-Revised (ALSFRS-R)||Blood samples will be collected for safety and efficacy assessments:||Hematology|Coagulation Panel|Proinflammatory Cytokines (IL-2, IL-6, TNF-a)|C - Reactive Protein|ALS-specific Quality of Life Survey-revised (ALSSQOL-R)|Chest X-Ray (PA single view)|Electromyogram (EMG)|Magnetic Resonance Imaging (MRI)|Adverse event monitoring|A video recording will be made with the purpose to capture patient's overall status (gait, range of motion assessments, etc.).",ALS
NCT04008329,"Amyotrophic lateral sclerosis (ALS) is the most common form of motor neuron disease (MND), which is characterized with highly clinical heterogeneity and no effective treatment is available now. The purpose of this registered cohort is to observe the natural history of ALS patients in China, and then identify some factors correlated with disease progression. Besides, ALS-related gene mutations will be screened and explore novel disease causing gene as well.",ALS
NCT00537641,"Amyotrophic Lateral Sclerosis (ALS), also known as ""Lou Gehrig's Disease"", is a fatal disorder that causes breathing failure due to progressive weakness of the muscles of breathing. Breathing assist devices known as noninvasive ventilation (NIV) are offered to ALS patients when their breathing function worsens. These devices deliver breathing assistance via a mask on the nose or nose and mouth, and are thought to be particularly important to be used during sleep, when breathing often becomes more shallow and irregular. However, although these devices have become the standard of therapy in ALS patients once their lung function worsens, it remains unclear how effective these devices actually are when a patient is sleeping, partly because of the practical difficulties in applying the device properly and keeping it applied throughout the sleep period, and partly because they are most commonly prescribed without objective evidence regarding how much breathing support the patient needs as the disease progresses and the breathing muscles weaken further.",ALS
